file,begin,end,speaker,loglikelihood
027280-3100333,0.0,1.9626875,027280,-4.905622959183674
021360-1453816,0.0,2.432,021360,-6.884218106995885
024832-2289939,0.0,2.8793125,024832,-5.152114982578397
024832-2471656,0.0,2.5541875,024832,-4.872941176470587
024832-2788453,0.0,2.043375,024832,-5.773093137254902
024832-2470130,0.0,2.9721875,024832,-5.94229292929293
024832-2215348,0.0,3.1115,024832,-6.224170418006431
024832-2290028,0.0,1.8111875,024832,-5.1709314917127065
024832-2211910,0.0,1.8111875,024832,-5.623508287292818
024832-2290132,0.0,2.600625,024832,-5.645196153846154
024832-2535817,0.0,4.3189375,024832,-5.7357030162413
024832-2538007,0.0,2.786375,024832,-6.289237410071942
024832-2290455,0.0,6.966,024832,-5.561972701149425
024832-2536293,0.0,3.0650625,024832,-5.505578431372549
024832-2470312,0.0,2.9721875,024832,-5.55277441077441
024832-2289957,0.0,2.229125,024832,-5.030063063063063
024832-2212802,0.0,2.2755625,024832,-5.511977973568282
024832-2535877,0.0,3.4365625,024832,-5.666562682215743
024832-2212320,0.0,1.857625,024832,-5.4610972972972975
024832-2473178,0.0,2.043375,024832,-5.22606862745098
024832-2537178,0.0,2.832875,024832,-6.105540636042402
024832-2215362,0.0,2.229125,024832,-5.786036036036036
024832-2213085,0.0,3.0650625,024832,-6.478218954248366
024832-2471074,0.0,3.66875,024832,-4.745084699453552
024832-2783376,0.0,3.204375,024832,-5.850353125
024832-2790444,0.0,5.805,024832,-6.431062068965518
024832-2470543,0.0,3.018625,024832,-5.274252491694352
024832-2212504,0.0,5.340625,024832,-5.824323970037453
024832-2290074,0.0,2.1826875,024832,-5.197183486238533
024832-2470013,0.0,2.2755625,024832,-4.841629955947137
024832-2213268,0.0,1.9505,024832,-5.979282051282051
024832-2789950,0.0,3.9009375,024832,-6.007469230769231
024832-2473152,0.0,3.7151875,024832,-5.526867924528301
024832-2289989,0.0,2.6470625,024832,-5.276693181818182
024832-2290744,0.0,1.9969375,024832,-5.622140703517588
024832-2289898,0.0,1.9969375,024832,-5.560809045226131
024832-2537587,0.0,3.2508125,024832,-5.828310769230769
024832-2789733,0.0,2.5541875,024832,-6.059921568627451
024832-2215457,0.0,1.9505,024832,-5.62525641025641
024832-2290883,0.0,3.66875,024832,-5.466
024832-2858001,0.0,2.229125,024832,-6.11999099099099
024832-2212610,0.0,2.0898125,024832,-5.657480769230769
024832-2212377,0.0,1.0216875,024832,-6.138147058823529
024832-2536110,0.0,2.832875,024832,-6.616763250883393
024832-2470401,0.0,2.229125,024832,-4.742117117117117
024832-2788693,0.0,1.9040625,024832,-6.7945789473684215
027280-3101245,0.0,2.7306875,027280,-5.4932380952380955
027280-3096801,0.0,2.8586875,027280,-5.1960421052631585
027280-3101785,0.0,2.432,027280,-5.3386131687242795
027280-3104345,0.0,2.304,027280,-4.7215
027280-3102849,0.0,3.3706875,027280,-5.348703264094955
027280-3102483,0.0,3.3706875,027280,-5.279172106824926
027280-3098640,0.0,3.1146875,027280,-5.059971061093248
027280-3098883,0.0,2.9866875,027280,-5.156080536912752
027280-3100308,0.0,2.816,027280,-5.600266903914591
027280-3104629,0.0,3.6693125,027280,-5.34412568306011
027280-3104850,0.0,1.7493125,027280,-4.979668390804598
027280-3104457,0.0,3.0293125,027280,-5.375824503311258
027280-3102036,0.0,1.7066875,027280,-5.683728823529411
027280-3104661,0.0,2.3893125,027280,-5.334067226890756
027280-3096688,0.0,3.84,027280,-4.8608203125000005
027280-3097049,0.0,2.176,027280,-4.847327188940092
027280-3103501,0.0,2.3893125,027280,-4.715928571428572
027280-3098564,0.0,3.3706875,027280,-5.280970326409495
027280-3100501,0.0,4.0106875,027280,-5.338296758104739
027280-3100395,0.0,3.712,027280,-5.5048140161725065
027280-3100809,0.0,2.7306875,027280,-4.92518315018315
027280-3096323,0.0,2.1333125,027280,-5.033281690140845
027280-3105354,0.0,1.3226875,027280,-5.623817424242424
027280-3102145,0.0,3.0293125,027280,-5.458953642384106
027280-3098979,0.0,2.688,027280,-5.359723880597015
027280-3103385,0.0,2.1333125,027280,-5.583957746478873
021360-1453815,0.0,2.56,021360,-6.25866796875
021360-1453817,0.0,4.0533125,021360,-6.482723456790124
024832-2212163,0.0,2.2755625,024832,-6.444436123348018
024832-2788132,0.0,4.5046875,024832,-6.3163044444444445
024832-2289889,0.0,4.736875,024832,-6.058699788583509
024832-2471323,0.0,1.857625,024832,-4.697563783783784
024832-2289591,0.0,3.1579375,024832,-5.575488888888889
024832-2470078,0.0,3.8545,024832,-6.174132467532468
024832-2536232,0.0,2.786375,024832,-5.797356115107913
024832-2789417,0.0,5.99075,024832,-6.367278797996661
024832-2289825,0.0,2.3684375,024832,-5.1353813559322035
024832-2783559,0.0,4.4118125,024832,-5.7838526077097505
024832-2213248,0.0,4.0403125,024832,-6.190430693069308
024832-2537519,0.0,1.253875,024832,-5.589204
024832-2536354,0.0,2.832875,024832,-5.25709187279152
024832-2473094,0.0,4.3189375,024832,-6.33784222737819
024832-2215254,0.0,3.204375,024832,-5.7157687500000005
024832-2789211,0.0,1.439625,024832,-7.142909090909091
024832-2788841,0.0,5.8514375,024832,-6.471652991452991
024832-2538322,0.0,2.832875,024832,-5.149243816254417
024832-2537056,0.0,2.2755625,024832,-5.983215859030837
024832-2290815,0.0,1.9040625,024832,-5.635947368421053
024832-2473239,0.0,3.575875,024832,-5.241039215686274
024832-2788052,0.0,2.7399375,024832,-6.176567765567765
024832-2537635,0.0,2.6470625,024832,-5.765219696969697
024832-2788509,0.0,3.29725,024832,-5.846112462006079
024832-2537237,0.0,3.66875,024832,-5.35938524590164
024832-2535390,0.0,3.761625,024832,-5.110164893617021
024832-2290602,0.0,6.78025,024832,-5.745019174041298
024832-2472642,0.0,2.414875,024832,-5.721867219917012
024832-2290417,0.0,4.551125,024832,-5.350241758241759
024832-2789123,0.0,2.4613125,024832,-5.630321138211382
024832-2473557,0.0,1.76475,024832,-5.603844886363636
024832-2232779,0.0,2.50775,024832,-5.768587999999999
024832-2290630,0.0,3.9938125,024832,-5.519363408521303
024832-2213020,0.0,2.3684375,024832,-6.368512711864407
024832-2470940,0.0,2.229125,024832,-6.506463963963964
024832-2212346,0.0,2.5541875,024832,-6.672239215686274
024832-2472527,0.0,2.043375,024832,-5.4712990196078435
024832-2470452,0.0,2.786375,024832,-5.259874100719424
024832-2791933,0.0,4.2260625,024832,-6.313817535545024
024832-2788146,0.0,1.671875,024832,-6.498137724550899
024832-2858037,0.0,2.0898125,024832,-6.362913461538462
024832-2471586,0.0,9.288,024832,-5.14162823275862
024832-2470609,0.0,3.7151875,024832,-4.800857142857143
024832-2536536,0.0,4.1331875,024832,-5.573951573849879
024832-2788350,0.0,3.483,024832,-5.757094827586207
024832-2790338,0.0,2.0898125,024832,-5.7958461538461545
024832-2215422,0.0,4.4118125,024832,-5.863764172335601
024832-2790544,0.0,4.7833125,024832,-6.5866192468619245
024832-2537299,0.0,4.45825,024832,-5.186008988764045
024832-2471389,0.0,3.575875,024832,-4.874081232492998
024832-2789341,0.0,2.13625,024832,-6.545882629107981
024832-2537119,0.0,3.483,024832,-5.711931034482759
024832-2789826,0.0,3.7151875,024832,-6.082956873315364
024832-2790285,0.0,3.8545,024832,-6.640867532467532
024832-2471128,0.0,2.600625,024832,-6.166053846153846
024832-2537733,0.0,1.76475,024832,-5.284518181818182
024832-2788899,0.0,1.671875,024832,-6.729748502994012
024832-2789003,0.0,5.20125,024832,-6.272003846153846
024832-2215290,0.0,1.671875,024832,-6.739185628742515
024832-2472933,0.0,4.9690625,024832,-5.880225806451613
024832-2289971,0.0,1.76475,024832,-6.29834090909091
024832-2789568,0.0,2.786375,024832,-6.673546762589928
024832-2789444,0.0,1.3003125,024832,-5.500267692307692
024832-2289745,0.0,3.7151875,024832,-5.5196334231805935
024832-2535419,0.0,1.7183125,024832,-5.480883040935672
024832-2212396,0.0,2.4613125,024832,-6.329243902439024
024832-2213036,0.0,1.161,024832,-5.7381396551724135
024832-2290113,0.0,3.2508125,024832,-5.954193846153847
024832-2290727,0.0,5.20125,024832,-5.186505769230769
024832-2537901,0.0,1.671875,024832,-5.513255688622754
024832-2783168,0.0,2.6935,024832,-5.897516728624535
024832-2473458,0.0,3.4365625,024832,-5.645542274052478
024832-2473354,0.0,2.50775,024832,-4.9478599999999995
024832-2789084,0.0,4.08675,024832,-6.4191666666666665
024832-2537861,0.0,5.0155,024832,-5.7768922155688625
024832-2290501,0.0,3.390125,024832,-6.15966371681416
024832-2536877,0.0,3.1115,024832,-5.820141479099679
024832-2212232,0.0,2.786375,024832,-6.529996402877698
024832-2538265,0.0,6.4551875,024832,-5.899663565891473
024832-2538396,0.0,2.50775,024832,-6.0570200000000005
024832-2472054,0.0,4.8761875,024832,-4.798016427104723
024832-2783632,0.0,3.29725,024832,-6.599954407294834
024832-2536472,0.0,2.832875,024832,-5.0080989399293285
024832-2470786,0.0,6.9195625,024832,-5.414858176555716
024832-2470256,0.0,2.9721875,024832,-5.754555555555556
024832-2212580,0.0,2.414875,024832,-5.8496390041493775
024832-2536159,0.0,2.13625,024832,-6.164798122065728
024832-2289718,0.0,1.9040625,024832,-5.890736842105263
024832-2537367,0.0,4.45825,024832,-5.941840449438202
025043-2162977,0.0,4.992,025043,-4.935300601202405
024832-2789872,0.0,2.50775,024832,-6.355092
025043-2163128,0.0,2.432,025043,-4.688423868312757
024832-2789481,0.0,1.9040625,024832,-7.132257894736842
025043-2163473,0.0,1.92,025043,-4.726125000000001
025043-2163458,0.0,2.176,025043,-5.735447004608296
024832-2537420,0.0,2.832875,024832,-5.278053003533569
